$,",",-LRB-,-RRB-,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.9309309309,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.01201201201,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502,0.001501501502
0.0243902439,0.0243902439,0.0487804878,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439,0.0243902439
0.1283783784,0.006756756757,0.006756756757,0.006756756757,0.02027027027,0.06081081081,0.07432432432,0.006756756757,0.006756756757,0.06756756757,0.02702702703,0.02027027027,0.006756756757,0.006756756757,0.01351351351,0.02702702703,0.2567567568,0.006756756757,0.02702702703,0.006756756757,0.006756756757,0.02702702703,0.006756756757,0.01351351351,0.006756756757,0.006756756757,0.006756756757,0.006756756757,0.006756756757,0.006756756757,0.006756756757,0.02027027027,0.0472972973,0.006756756757,0.006756756757,0.006756756757,0.006756756757,0.006756756757,0.006756756757,0.006756756757
0.008,0.008,0.008,0.008,0.088,0.024,0.088,0.008,0.008,0.104,0.016,0.008,0.008,0.024,0.024,0.04,0.04,0.008,0.008,0.008,0.008,0.024,0.008,0.072,0.008,0.008,0.008,0.04,0.008,0.016,0.08,0.008,0.04,0.016,0.048,0.024,0.008,0.016,0.008,0.016
0.01790154152,0.0004972650423,0.0004972650423,0.0004972650423,0.0009945300845,0.04326205868,0.1133764296,0.005967180507,0.0004972650423,0.05867727499,0.1098955743,0.01193436101,0.002983590254,0.0009945300845,0.01193436101,0.1193436101,0.1233217305,0.002486325211,0.07309796121,0.0004972650423,0.0004972650423,0.04574838389,0.01541521631,0.05320735952,0.003480855296,0.0009945300845,0.0004972650423,0.008453505719,0.0004972650423,0.035305818,0.0387866733,0.02685231228,0.01889607161,0.01392342118,0.02436598707,0.001491795127,0.002486325211,0.0004972650423,0.004972650423,0.004972650423
0.0006920415225,0.0003460207612,0.002422145329,0.008996539792,0.04809688581,0.2249134948,0.0401384083,0.0003460207612,0.0003460207612,0.1501730104,0.04740484429,0.00276816609,0.001730103806,0.0003460207612,0.007612456747,0.1186851211,0.03460207612,0.0003460207612,0.1650519031,0.0003460207612,0.001384083045,0.005190311419,0.0006920415225,0.01384083045,0.001038062284,0.0003460207612,0.0003460207612,0.05951557093,0.0003460207612,0.0003460207612,0.01453287197,0.007958477509,0.01176470588,0.006228373702,0.009342560554,0.003806228374,0.002422145329,0.0006920415225,0.003460207612,0.001384083045
0.009073672806,0.0001354279523,0.0005417118093,0.0002708559047,0.000812567714,0.02356446371,0.00176056338,0.0002708559047,0.0002708559047,0.01056338028,0.2021939328,0.006229685807,0.00988624052,0.0001354279523,0.00176056338,0.4676327194,0.1264897075,0.003385698808,0.07936078007,0.0001354279523,0.0001354279523,0.001218851571,0.0002708559047,0.009209100758,0.00176056338,0.002573131094,0.0001354279523,0.0005417118093,0.0001354279523,0.0001354279523,0.001895991333,0.01151137595,0.01069880823,0.0009479956663,0.00582340195,0.0005417118093,0.001083423619,0.0001354279523,0.0001354279523,0.006635969664
0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.048,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.024,0.008,0.008,0.008,0.008,0.008,0.008,0.096,0.008,0.008,0.144,0.408,0.008,0.008,0.008,0.008,0.008
0.02272727273,0.02272727273,0.02272727273,0.04545454545,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.04545454545,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.06818181818,0.02272727273,0.02272727273,0.02272727273,0.02272727273,0.02272727273
0.02560359349,0.0001122964627,0.0001122964627,0.0001122964627,0.001122964627,0.06468276249,0.3180235823,0.001235261089,0.0002245929253,0.01807973049,0.09601347558,0.006176305446,0.004154969118,0.0001122964627,0.0002245929253,0.1079169006,0.1485682201,0.001909039865,0.06412128018,0.001010668164,0.0001122964627,0.03391353172,0.0354856822,0.01358787198,0.0008983717013,0.0001122964627,0.0002245929253,0.002582818641,0.0001122964627,0.0004491858506,0.001122964627,0.03076923077,0.005390230208,0.000336889388,0.0005614823133,0.003930376193,0.002358225716,0.0001122964627,0.001459854015,0.006962380685
0.002119052206,0.0001926411096,0.0007705644385,0.0003852822192,0.02041995762,0.02311693315,0.006549797727,0.0001926411096,0.0001926411096,0.0620304373,0.07724908495,0.001155846658,0.0005779233288,0.0001926411096,0.0007705644385,0.4557888653,0.03756501637,0.0009632055481,0.2504334425,0.0001926411096,0.0001926411096,0.004238104411,0.0003852822192,0.005971874398,0.0007705644385,0.0001926411096,0.0003852822192,0.02619919091,0.0001926411096,0.0001926411096,0.002504334425,0.005971874398,0.003467539973,0.001541128877,0.002504334425,0.0003852822192,0.0005779233288,0.0001926411096,0.001155846658,0.002119052206
